latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.57105856,-58.47791767,62.5579,0.814,"POLYGON((-58.4778555392654 -34.5710608324773, -58.477897701706 -34.5710098386895, -58.4779797965068 -34.5710562827227, -58.4779376340957 -34.5711072765369, -58.4778555392654 -34.5710608324773))",48Q3CGHC+HRGP
-34.57121951,-58.47834809,53.4078,0.6733,"POLYGON((-58.4783475197771 -34.5711711158793, -58.4784020691738 -34.5712008503667, -58.4783486542114 -34.5712679000849, -58.4782941047881 -34.5712381655747, -58.4783475197771 -34.5711711158793))",48Q3CGHC+GM69
-34.57078375,-58.4782043,86.6797,0.7539,"POLYGON((-58.4781292218153 -34.5707810528551, -58.4781763285893 -34.5707260452263, -58.4782793877952 -34.5707864339509, -58.4782322810573 -34.570841441618, -58.4781292218153 -34.5707810528551))",48Q3CGHC+MPMM
-34.57056565,-58.47843362,27.2043,0.739,"POLYGON((-58.4783865843522 -34.5705565371624, -58.4784072866017 -34.5705321396449, -58.4784806587395 -34.5705747400876, -58.4784599565021 -34.5705991376172, -58.4783865843522 -34.5705565371624))",48Q3CGHC+QJG6
-34.57066451,-58.47805084,20.9539,0.7035,"POLYGON((-58.4780276135989 -34.5706422431265, -58.4780732630547 -34.570641690272, -58.4780740608854 -34.5706867656172, -58.4780284114055 -34.5706873184726, -58.4780276135989 -34.5706422431265))",48Q3CGHC+PQPF
-34.57082219,-58.47761584,29.0444,0.7215,"POLYGON((-58.4775749603469 -34.5708350637513, -58.4776195159233 -34.5707861336597, -58.4776567141281 -34.5708093106186, -58.4776121585623 -34.5708582407233, -58.4775749603469 -34.5708350637513))",48Q3CGHC+MXC3
-34.5707011,-58.47810065,19.0276,0.7043,"POLYGON((-58.4780702341415 -34.5707149106862, -58.478095486799 -34.5706727129143, -58.4781310592974 -34.5706872789594, -58.4781058066535 -34.570729476738, -58.4780702341415 -34.5707149106862))",48Q3CGHC+PQ6X
-34.57068385,-58.47771187,34.4403,0.6614,"POLYGON((-58.4776811669842 -34.5707047394154, -58.4776992419045 -34.5706833675427, -58.4776724820334 -34.5706678819468, -58.4776931123261 -34.5706434885826, -58.4777552360562 -34.5706794387699, -58.4777165308582 -34.5707252040221, -58.4776811669842 -34.5707047394154))",48Q3CGHC+PWFJ
-34.57122316,-58.47819898,80.1486,0.7676,"POLYGON((-58.4782138296002 -34.5712546607056, -58.4782042691672 -34.5712666614977, -58.4781249100868 -34.5712234032628, -58.478167937714 -34.5711693926046, -58.4782759225528 -34.5712282545547, -58.4782424553971 -34.5712702644571, -58.4782138296002 -34.5712546607056))",48Q3CGHC+GP74
-34.57114257,-58.47787348,77.7855,0.7344,"POLYGON((-58.4778070671967 -34.5711668728826, -58.4778798297647 -34.571082724419, -58.477939894847 -34.5711182620811, -58.4778671323074 -34.5712024105768, -58.4778070671967 -34.5711668728826))",48Q3CGHC+GVR6
-34.57135862,-58.47842839,21.9536,0.6651,"POLYGON((-58.4783929402865 -34.5713480232007, -58.4784260270155 -34.5713274986689, -58.4784638439046 -34.5713692114539, -58.4784307571686 -34.5713897359952, -58.4783929402865 -34.5713480232007))",48Q3CGHC+FJ4M
-34.57058386,-58.47834869,38.1145,0.737,"POLYGON((-58.4783039277857 -34.5706170479379, -58.4783584796916 -34.5705348050488, -58.4783934663012 -34.5705506840928, -58.4783389144202 -34.5706329269968, -58.4783039277857 -34.5706170479379))",48Q3CGHC+QM6Q
-34.57073274,-58.47792812,29.5136,0.7421,"POLYGON((-58.4778871611497 -34.5707401534274, -58.4779226658782 -34.5706983459221, -58.4779690929403 -34.5707253240923, -58.4779335882243 -34.5707671316109, -58.4778871611497 -34.5707401534274))",48Q3CGHC+PR4M
-34.5714211,-58.47819555,102.0257,0.8595,"POLYGON((-58.4781172258531 -34.5714274593507, -58.478171715796 -34.5713590607153, -58.4782738672555 -34.5714147427853, -58.4782193773637 -34.5714831414645, -58.4781172258531 -34.5714274593507))",48Q3CGHC+CPM4
-34.57095228,-58.47797675,253.0385,0.739,"POLYGON((-58.4778451241071 -34.5709401902457, -58.4779213324238 -34.5708527805559, -58.4781083825091 -34.5709643659257, -58.4780321742954 -34.5710517757284, -58.4778451241071 -34.5709401902457))",48Q3CGHC+JR6W
-34.57120123,-58.47770127,109.3074,0.7666,"POLYGON((-58.4776144 -34.5711921, -58.4776567 -34.5711434, -58.4776784 -34.5711563, -58.4777001 -34.5711312, -58.4777282 -34.5711478, -58.4777064 -34.5711729, -58.4777877 -34.5712212, -58.4777454 -34.5712699, -58.4776144 -34.5711921))",48Q3CGHC+GW7W
-34.5710703,-58.47839904,40.6718,0.8048,"POLYGON((-58.4783469407208 -34.5710669151386, -58.478378316612 -34.5710306143194, -58.4784511398243 -34.5710736823671, -58.4784197639505 -34.5711099832046, -58.4783469407208 -34.5710669151386))",48Q3CGHC+HJH2
-34.57117936,-58.47827444,63.2931,0.787,"POLYGON((-58.4782154084131 -34.5711952686476, -58.4782688234404 -34.5711282189851, -58.4783334694206 -34.5711634571225, -58.4782800544247 -34.571230506812, -58.4782154084131 -34.5711952686476))",48Q3CGHC+GMHR
-34.57085082,-58.47781994,131.1704,0.7244,"POLYGON((-58.4777336240853 -34.5708666411053, -58.4778083195374 -34.5707783208217, -58.4779062605593 -34.5708349977406, -58.4778315651646 -34.5709233180819, -58.4777336240853 -34.5708666411053))",48Q3CGHC+MV3X
-34.57124819,-58.47780831,64.3853,0.6515,"POLYGON((-58.4777587110912 -34.5712730676709, -58.4777982859757 -34.5712274543506, -58.4777569371295 -34.571202907507, -58.4777725337254 -34.5711849311369, -58.4778678346939 -34.5712415067403, -58.4778126632399 -34.5713050964598, -58.4777587110912 -34.5712730676709))",48Q3CGHC+GV42
-34.57132286,-58.47759637,35.8703,0.6523,"POLYGON((-58.4776055142548 -34.5712819310347, -58.4776429349881 -34.5713070788948, -58.4775872299549 -34.5713637953439, -58.4775498092119 -34.5713386474669, -58.4776055142548 -34.5712819310347))",48Q3CGHC+FXC5
-34.5707633,-58.47802471,39.8255,0.7896,"POLYGON((-58.4779885802865 -34.5707910550499, -58.4780004432882 -34.570727803665, -58.4780608333482 -34.570735553606, -58.4780489703908 -34.5707988049954, -58.4779885802865 -34.5707910550499))",48Q3CGHC+MQXC
-34.57136782,-58.47767136,81.5031,0.8424,"POLYGON((-58.4776001473724 -34.5713697171627, -58.4776476701548 -34.5713122407638, -58.4777425633822 -34.5713659253994, -58.4776950406373 -34.571423401834, -58.4776001473724 -34.5713697171627))",48Q3CGHC+FW48
-34.57142259,-58.4780166,122.6557,0.7372,"POLYGON((-58.4779259648173 -34.5714168113199, -58.4779779590618 -34.5713515456801, -58.4780567116266 -34.5713944733686, -58.4780476341676 -34.571405867848, -58.4781081483991 -34.5714388538345, -58.4780652316746 -34.5714927250475, -58.4779259648173 -34.5714168113199))",48Q3CGHC+CQQ3
-34.57086801,-58.47802281,158.1567,0.8094,"POLYGON((-58.4779116605194 -34.5708476072155, -58.4779634177469 -34.5707871694665, -58.4781287958479 -34.5708840749343, -58.4781064261432 -34.5709101964734, -58.4781165874313 -34.5709161505991, -58.4780871999747 -34.5709504668795, -58.4779116605194 -34.5708476072155))",48Q3CGHC+MQ57
-34.57128066,-58.47766735,50.4568,0.7309,"POLYGON((-58.4776134837493 -34.5712897028731, -58.4776493972415 -34.5712376776495, -58.4777212323143 -34.571271626878, -58.4776853034983 -34.5713236448653, -58.4776134837493 -34.5712897028731))",48Q3CGHC+FWPP
-34.5708366,-58.47808813,27.9122,0.7655,"POLYGON((-58.4780485701806 -34.5708461802468, -58.4780854964321 -34.5708025808585, -58.4781276752242 -34.5708270240116, -58.4780907489852 -34.5708706234126, -58.4780485701806 -34.5708461802468))",48Q3CGHC+MQ7C
-34.57059889,-58.47789416,58.6957,0.7483,"POLYGON((-58.4778381568057 -34.5706078711676, -58.4778964640422 -34.5705418214825, -58.4779301136153 -34.5705621470275, -58.477908065852 -34.5705871224757, -58.4779455000309 -34.5706097340378, -58.4779092405809 -34.570650808301, -58.4778381568057 -34.5706078711676))",48Q3CGHC+QR93
-34.57132741,-58.47834494,22.9464,0.6546,"POLYGON((-58.4783078481494 -34.5713460215454, -58.4783542299173 -34.571292359646, -58.478382023361 -34.5713087968042, -58.4783356416027 -34.5713624587142, -58.4783078481494 -34.5713460215454))",48Q3CGHC+FM6X
-34.57118466,-58.47841429,22.7302,0.7651,"POLYGON((-58.4783790073412 -34.5711932249616, -58.4784018064804 -34.5711560550358, -58.4784495741885 -34.5711761027895, -58.4784267750659 -34.5712132727235, -58.4783790073412 -34.5711932249616))",48Q3CGHC+GJGP
-34.57114964,-58.47844085,16.1029,0.726,"POLYGON((-58.4784110509993 -34.5711570279261, -58.4784272437287 -34.5711264837444, -58.4784706740852 -34.5711422377096, -58.478454481369 -34.5711727818967, -58.4784110509993 -34.5711570279261))",48Q3CGHC+GJV5
-34.57133858,-58.47804477,79.1853,0.8629,"POLYGON((-58.4779779590618 -34.5713515456801, -58.4780328159825 -34.5712826865418, -58.4781115685076 -34.5713256141963, -58.4780567116266 -34.5713944733686, -58.4779779590618 -34.5713515456801))",48Q3CGHC+FQ8G
-34.57129383,-58.47829571,71.0753,0.8781,"POLYGON((-58.4782288753938 -34.5712941859416, -58.4782733945911 -34.5712417238169, -58.478362540034 -34.5712934849634, -58.4783180208675 -34.5713459471196, -58.4782288753938 -34.5712941859416))",48Q3CGHC+FMP8
-34.57110409,-58.4778084,90.7372,0.7801,"POLYGON((-58.477737 -34.5711254, -58.4778097 -34.5710413, -58.4778798 -34.5710827, -58.4778071 -34.5711669, -58.477737 -34.5711254))",48Q3CGHC+HV4R
-34.57103003,-58.47774933,44.8188,0.6979,"POLYGON((-58.477697996085 -34.5710352884629, -58.4777376947756 -34.5709883486825, -58.4778006612198 -34.5710247863404, -58.4777609625492 -34.5710717261408, -58.477697996085 -34.5710352884629))",48Q3CGHC+HWJJ
