latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.59838123,-58.38994884,67.6208,0.722,"POLYGON((-58.3898964555059 -34.5983785929581, -58.389941914544 -34.598376659295, -58.3899383511174 -34.5983193765644, -58.3899804935524 -34.5983175839632, -58.3899870483616 -34.5984229527846, -58.3898994468096 -34.598426679054, -58.3898964555059 -34.5983785929581))",48Q3CJ26+J2VP
-34.59597513,-58.37347184,116.923,0.7604,"POLYGON((-58.3734202415612 -34.5960376656522, -58.3734380767753 -34.5959047511375, -58.3735234552312 -34.5959125853613, -58.3735056201522 -34.596045499885, -58.3734202415612 -34.5960376656522))",48Q3CJ3G+JJ2X
-34.6076287,-58.38972029,117.3605,0.7057,"POLYGON((-58.3896486122979 -34.6076658715891, -58.3896546540458 -34.6075685756924, -58.3896850767628 -34.6075698671656, -58.3896836497182 -34.607592848345, -58.389798593962 -34.6075977277673, -58.3897939793967 -34.6076720424873, -58.3896486122979 -34.6076658715891))",48Q39JR6+W4RX
-34.60795131,-58.38516711,52.7776,0.7446,"POLYGON((-58.3851043835493 -34.6079699157661, -58.3851068183936 -34.607927852819, -58.3852298325112 -34.6079327206741, -58.3852273977301 -34.6079747836233, -58.3851043835493 -34.6079699157661))",48Q39JR7+RW8W
-34.59646411,-58.3839789,213.748,0.7491,"POLYGON((-58.3840759 -34.5965212, -58.3838724 -34.5965073, -58.3838761 -34.5964703, -58.3838517 -34.5964686, -58.3838567 -34.5964181, -58.38403 -34.59643, -58.3840333 -34.5963966, -58.3840879 -34.5964003, -58.3840759 -34.5965212))",48Q3CJ38+CC6G
-34.60988309,-58.37737279,74.9991,0.7152,"POLYGON((-58.377342423453 -34.6098267809001, -58.3774092249874 -34.6098292979938, -58.3774031563658 -34.6099393953822, -58.3773363547431 -34.6099368782874, -58.377342423453 -34.6098267809001))",48Q39JRF+23RJ
-34.60088759,-58.38984418,98.7647,0.7838,"POLYGON((-58.3897979759057 -34.6009424630466, -58.3898050229741 -34.6008290891709, -58.3898903927334 -34.6008327173407, -58.3898833457811 -34.6009460912186, -58.3897979759057 -34.6009424630466))",48Q39JX6+J3RH
-34.59666981,-58.38054621,53.2744,0.6747,"POLYGON((-58.3805293428125 -34.596712298804, -58.3805345312075 -34.5966663576009, -58.3804854009198 -34.5966625634293, -58.3804886182992 -34.5966340749239, -58.3805886607916 -34.5966418008597, -58.3805802550794 -34.5967162305699, -58.3805293428125 -34.596712298804))",48Q3CJ39+8QP8
-34.61251155,-58.3778974,287.0139,0.7895,"POLYGON((-58.3776683072173 -34.6125310119618, -58.3776729074045 -34.6124690629455, -58.3781264906115 -34.6124920853654, -58.3781218907613 -34.6125540343915, -58.3776683072173 -34.6125310119618))",48Q39JPC+XRXF
-34.60331651,-58.38836525,16.5505,0.6972,"POLYGON((-58.3883431493509 -34.6033350451675, -58.3883456658139 -34.6032961427766, -58.3883873496448 -34.6032979862893, -58.3883848332012 -34.6033368886805, -58.3883431493509 -34.6033350451675))",48Q39JW6+MMC7
-34.60478632,-58.37314785,88.7275,0.6517,"POLYGON((-58.3730584502059 -34.6048068971796, -58.3730619242647 -34.6047573339717, -58.3732372414649 -34.6047657352654, -58.3732337675105 -34.604815298476, -58.3730584502059 -34.6048068971796))",48Q39JWG+3PQF
-34.598254,-58.37486415,45.5168,0.7523,"POLYGON((-58.3748291726119 -34.5982863902688, -58.3748325408844 -34.5982193265332, -58.3748991115613 -34.5982216127551, -58.3748957433423 -34.5982886764913, -58.3748291726119 -34.5982863902688))",48Q3CJ2G+M3RV
-34.60702641,-58.37308509,943.469,0.8416,"POLYGON((-58.3728854060281 -34.6071368643, -58.3729078722179 -34.6068922937486, -58.3732847655325 -34.6069159616594, -58.3732623004465 -34.6071605322534, -58.3728854060281 -34.6071368643))",48Q39JVG+5QMV
-34.59491534,-58.38422438,18.2805,0.6509,"POLYGON((-58.3842009710692 -34.5948957901622, -58.3842430667153 -34.5948925822725, -58.3842477812218 -34.59493488881, -58.3842056855546 -34.5949380967018, -58.3842009710692 -34.5948957901622))",48Q3CJ48+28J9
