latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.57016178,-58.47705334,117.8989,0.7634,"POLYGON((-58.4770267517581 -34.570115397771, -58.4770744349946 -34.5701448683948, -58.4771339703208 -34.570078955927, -58.4771622253403 -34.570096418917, -58.4770364484921 -34.5702356682839, -58.4769605101941 -34.570188734616, -58.4770267517581 -34.570115397771))",48Q3CGHF+W5PF
-34.57203959,-58.4789581,10.8958,0.6712,"POLYGON((-58.4789319668184 -34.5720389768087, -58.4789503911405 -34.5720189253674, -58.478984221259 -34.5720401942704, -58.4789657969406 -34.5720602457166, -58.4789319668184 -34.5720389768087))",48Q3CGHC+5CMF
-34.5729725,-58.4788978,27.0521,0.759,"POLYGON((-58.478861761446 -34.572987857083, -58.4788872709485 -34.5729401180042, -58.4789338342007 -34.5729571418217, -58.47890832472 -34.5730048809094, -58.478861761446 -34.572987857083))",48Q3CGGC+RC93
-34.56974379,-58.47913449,56.5194,0.7636,"POLYGON((-58.4790769592217 -34.5697499592494, -58.4791224964155 -34.5696968368871, -58.479192033598 -34.5697376242539, -58.4791464964282 -34.5697907466412, -58.4790769592217 -34.5697499592494))",48Q3CGJC+4858
-34.57086748,-58.47901042,120.1763,0.7782,"POLYGON((-58.4790161 -34.5707954, -58.4790983 -34.5708418, -58.4790394 -34.5709132, -58.4790068 -34.5708948, -58.4789706 -34.5709389, -58.4789209 -34.5709109, -58.4790161 -34.5707954))",48Q3CGHC+M958
-34.57087611,-58.47771577,15.1568,0.7092,"POLYGON((-58.4776873031407 -34.5708840378366, -58.4777080376599 -34.5708521116872, -58.477744224089 -34.5708681922417, -58.4777234895799 -34.5709001183969, -58.4776873031407 -34.5708840378366))",48Q3CGHC+JWVR
-34.57247896,-58.47932824,239.7206,0.6807,"POLYGON((-58.4792105506281 -34.5724956852236, -58.47930103515 -34.5723827878158, -58.4794459185854 -34.5724622388601, -58.4793554341818 -34.572575136371, -58.4792105506281 -34.5724956852236))",48Q3CGHC+273V
-34.57289324,-58.47896799,90.4733,0.7503,"POLYGON((-58.4788971971179 -34.5729117292944, -58.4789620287747 -34.5728320306267, -58.4790387814151 -34.5728747491098, -58.4789739498012 -34.5729544478165, -58.4788971971179 -34.5729117292944))",48Q3CGGC+RCV6
-34.57073577,-58.47862553,125.4036,0.835,"POLYGON((-58.4785366414504 -34.5707333445354, -58.4785982925095 -34.5706657401636, -58.4787144121618 -34.5707381972001, -58.4786527611478 -34.570805801629, -58.4785366414504 -34.5707333445354))",48Q3CGHC+PG5H
-34.57261195,-58.47622957,75.5956,0.747,"POLYGON((-58.4761633015702 -34.5726203382381, -58.4762159127689 -34.5725576606356, -58.4762958456842 -34.5726035678447, -58.4762432345193 -34.57266624548, -58.4761633015702 -34.5726203382381))",48Q3CGGF+XG2G
-34.57176598,-58.47920995,64.3937,0.6944,"POLYGON((-58.4792375923237 -34.5718159549368, -58.4791438138285 -34.5717608081753, -58.4791823187468 -34.571716006126, -58.4792760972165 -34.571771152859, -58.4792375923237 -34.5718159549368))",48Q3CGHC+78V7
-34.56962548,-58.47626343,40.5821,0.7122,"POLYGON((-58.4762078697952 -34.5696491355091, -58.4762698301673 -34.5695838336917, -58.4763145790398 -34.5696128867453, -58.476270318593 -34.5696595341432, -58.4762458919137 -34.5696436752041, -58.4762281920009 -34.5696623296423, -58.4762078697952 -34.5696491355091))",48Q3CGJF+4FXW
-34.57065899,-58.47783904,84.2286,0.8077,"POLYGON((-58.4777699996495 -34.5706722336726, -58.4778295652456 -34.5706008862794, -58.4779080757962 -34.5706457355514, -58.4778485102374 -34.5707170829828, -58.4777699996495 -34.5706722336726))",48Q3CGHC+PVMJ
-34.57175383,-58.47713802,87.6019,0.7213,"POLYGON((-58.4770759129104 -34.5717890356511, -58.4771122577976 -34.5717458654361, -58.4770928996886 -34.5717347142579, -58.4771314780472 -34.5716888910942, -58.4772059783917 -34.5717318067415, -58.4771310551857 -34.5718208001594, -58.4770759129104 -34.5717890356511))",48Q3CGHF+74XW
-34.57116652,-58.47613088,110.4702,0.7894,"POLYGON((-58.4760717548137 -34.5711978142523, -58.4760943972112 -34.5711696736783, -58.4760623560165 -34.571152033494, -58.4761057125848 -34.5710981487606, -58.476208378442 -34.5711546710726, -58.4761423795298 -34.5712366964274, -58.4760717548137 -34.5711978142523))",48Q3CGHF+GGQ9
-34.56961353,-58.47891241,44.1759,0.7587,"POLYGON((-58.4788624700581 -34.569624149061, -58.4789080073255 -34.5695710267757, -58.4789623577606 -34.5696029064855, -58.4789168205117 -34.5696560287902, -58.4788624700581 -34.569624149061))",48Q3CGJC+5C4H
-34.57114145,-58.47636714,25.7975,0.6646,"POLYGON((-58.4763891533356 -34.5711750924564, -58.4763226473742 -34.5711310320243, -58.4763451211127 -34.5711078211111, -58.4764116270649 -34.5711518815329, -58.4763891533356 -34.5711750924564))",48Q3CGHF+GFR7
-34.57239696,-58.48006402,15.8579,0.7186,"POLYGON((-58.4800333433641 -34.5723959817827, -58.4800665933669 -34.572371654347, -58.4800946980909 -34.5723979368391, -58.4800614480866 -34.5724222642823, -58.4800333433641 -34.5723959817827))",48Q3CGH9+2XV5
-34.57110292,-58.4783566,29.3497,0.6772,"POLYGON((-58.4783123693502 -34.5711016471065, -58.4783377476549 -34.5710697906912, -58.4784008417137 -34.571104182861, -58.4783754634234 -34.5711360392887, -58.4783123693502 -34.5711016471065))",48Q3CGHC+HM2W
-34.56895828,-58.47886027,76.3604,0.863,"POLYGON((-58.4787914951628 -34.5689598198236, -58.4788386959442 -34.5689042405111, -58.4789290484211 -34.5689567459127, -58.4788818476719 -34.5690123252585, -58.4787914951628 -34.5689598198236))",48Q3CGJC+CF6M
-34.57118906,-58.47722132,75.974,0.7173,"POLYGON((-58.4771548592639 -34.5711970672406, -58.4772106920037 -34.5711341981941, -58.4772877847654 -34.571181043933, -58.4772319520551 -34.5712439130137, -58.4771548592639 -34.5711970672406))",48Q3CGHF+G4CH
-34.57064472,-58.47972618,35.3096,0.7135,"POLYGON((-58.4796688244739 -34.5706354715738, -58.4796877641562 -34.5706082936105, -58.4797835450972 -34.5706539650768, -58.4797646054375 -34.5706811430543, -58.4796688244739 -34.5706354715738))",48Q3CGHC+P4R9
-34.57103861,-58.47833238,40.9812,0.7554,"POLYGON((-58.4782846879159 -34.5710447665857, -58.4783248937665 -34.5709963473403, -58.4783654396093 -34.5710193842261, -58.4783559463097 -34.5710308168638, -58.4783768111555 -34.5710426716103, -58.4783460986231 -34.5710796582363, -58.4782846879159 -34.5710447665857))",48Q3CGHC+HMMF
-34.56932061,-58.47883067,19.4393,0.8007,"POLYGON((-58.478790033745 -34.5693122462795, -58.4788067283084 -34.5692921867622, -58.4788713045529 -34.5693289616677, -58.4788546099982 -34.5693490211942, -58.478790033745 -34.5693122462795))",48Q3CGJC+7FF3
-34.5709633,-58.47981368,23.5063,0.668,"POLYGON((-58.479777388991 -34.5709764930889, -58.4798161985677 -34.5709305788358, -58.4798499727997 -34.5709501125046, -58.4798111632332 -34.5709960267681, -58.479777388991 -34.5709764930889))",48Q3CGHC+J37H
-34.56933587,-58.47930693,42.7262,0.689,"POLYGON((-58.4792546124711 -34.5693348766831, -58.4792883307049 -34.5692954169047, -58.4793592481778 -34.5693368824548, -58.4793255299619 -34.5693763422521, -58.4792546124711 -34.5693348766831))",48Q3CGJC+778C
-34.57122405,-58.47877665,98.7171,0.759,"POLYGON((-58.4787009199594 -34.5712677527522, -58.4787953237203 -34.5711492504071, -58.4788523730123 -34.5711803472769, -58.4787579693002 -34.5712988496642, -58.4787009199594 -34.5712677527522))",48Q3CGHC+GF92
-34.56905836,-58.47815852,96.4102,0.7816,"POLYGON((-58.4780843902614 -34.5690717274238, -58.4781504218714 -34.5689959488522, -58.4782326561443 -34.5690449814817, -58.4781666245727 -34.5691207600968, -58.4780843902614 -34.5690717274238))",48Q3CGJC+9PGQ
